county_fips,year,complete_count,public_status,public_lower,public_upper,posterior_mean,posterior_median,posterior_lower_95,posterior_upper_95,absolute_error_posterior_mean,squared_error_posterior_mean,truth_covered_by_95_interval
20079,2021,1,suppressed_1_9,1,9,2.2416666666666667,2.0,1.0,4.0,1.2416666666666667,1.5417361111111112,True
20079,2022,2,suppressed_1_9,1,9,1.4704166666666667,1.0,1.0,2.0,0.5295833333333333,0.2804585069444444,True
20079,2023,2,suppressed_1_9,1,9,2.05875,2.0,1.0,4.0,0.05874999999999986,0.0034515624999999833,True
20079,2024,2,suppressed_1_9,1,9,1.7745833333333334,2.0,1.0,3.0,0.2254166666666666,0.05081267361111108,True
20091,2019,7,suppressed_1_9,1,9,7.0,7.0,7.0,7.0,0.0,0.0,True
20091,2020,26,exact,26,26,26.0,26.0,26.0,26.0,0.0,0.0,True
20091,2021,25,exact,25,25,25.0,25.0,25.0,25.0,0.0,0.0,True
20091,2022,27,exact,27,27,27.0,27.0,27.0,27.0,0.0,0.0,True
20091,2023,25,exact,25,25,25.0,25.0,25.0,25.0,0.0,0.0,True
20091,2024,26,exact,26,26,26.0,26.0,26.0,26.0,0.0,0.0,True
20103,2019,1,suppressed_1_9,1,9,1.5425,2.0,1.0,2.0,0.5425,0.29430625,True
20103,2020,1,suppressed_1_9,1,9,1.0,1.0,1.0,1.0,0.0,0.0,True
20103,2021,5,suppressed_1_9,1,9,3.4079166666666665,3.0,1.0,5.0,1.5920833333333335,2.5347293402777784,True
20103,2022,1,suppressed_1_9,1,9,1.5295833333333333,2.0,1.0,2.0,0.5295833333333333,0.2804585069444444,True
20103,2023,2,suppressed_1_9,1,9,2.5616666666666665,3.0,1.0,4.0,0.5616666666666665,0.3154694444444443,True
20103,2024,2,suppressed_1_9,1,9,1.9583333333333333,2.0,1.0,3.0,0.04166666666666674,0.0017361111111111173,True
20117,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20117,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20117,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20117,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20117,2023,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20117,2024,1,suppressed_1_9,1,9,1.0670833333333334,1.0,1.0,2.0,0.06708333333333338,0.004500173611111118,True
20139,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20139,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20139,2021,1,suppressed_1_9,1,9,1.1095833333333334,1.0,1.0,2.0,0.10958333333333337,0.012008506944444452,True
20139,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
20139,2023,1,suppressed_1_9,1,9,1.1104166666666666,1.0,1.0,2.0,0.11041666666666661,0.012191840277777765,True
20139,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
