scenario,model_type,term,coefficient,irr,ci_low,ci_high,standard_error,n_rows,events,truth_irr,bias_irr,truth_covered_by_95_interval
visible_exact_and_zero_only,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,0.1316828521917964,1.1407464766466866,0.567937902733221,2.291276066836296,0.355829614593485,205,2500.0,1.43,-0.28925352335331334,True
suppressed_equals_1,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,-0.34294120939094574,0.7096799328492724,0.4996680638084263,1.0079603712316634,0.17901533878214024,432,2727.0,1.12,-0.41032006715072766,False
suppressed_equals_1,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,-0.06304109873721053,0.9389048850910293,0.6329759828876852,1.3926948368974992,0.20116413293172025,432,2727.0,1.27,-0.3310951149089707,True
suppressed_equals_1,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,-0.30974293477994164,0.7336355241635831,0.4811105338737611,1.1187056703605653,0.21526290833831402,432,2727.0,1.23,-0.49636447583641685,False
suppressed_equals_1,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,0.22485083467420316,1.2521359269974828,0.9131092400098518,1.7170392226683955,0.1610972401535176,432,2727.0,1.1,0.15213592699748268,True
suppressed_equals_1,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,0.5814588885138726,1.7886459632891853,1.3407553656089775,2.386158179227261,0.14705394270156832,432,2727.0,1.25,0.5386459632891853,False
suppressed_equals_1,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,0.5559222724195794,1.7435482699643403,1.0923743247858377,2.7828927325728148,0.23855544161730685,432,2727.0,1.43,0.3135482699643404,True
suppressed_equals_5,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,0.8591765575852168,2.3612155679170965,1.9096383750909804,2.919578403376205,0.10829727850276609,432,3635.0,1.12,1.2412155679170964,False
suppressed_equals_5,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,1.18485476679056,3.2702118436139114,2.3941619661971303,4.466817889977353,0.1590926055562116,432,3635.0,1.27,2.0002118436139114,False
suppressed_equals_5,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,1.0040201480917328,2.729231719308618,1.9253945391119476,3.868664643203908,0.1780047173314492,432,3635.0,1.23,1.499231719308618,False
suppressed_equals_5,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,0.22041280553704715,1.246591224146942,0.9521286202691677,1.63212159264875,0.1374836497596762,432,3635.0,1.1,0.1465912241469418,True
suppressed_equals_5,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,0.06021547273467816,1.0620653680213343,0.8407622067928279,1.3416193506759733,0.11921524605558378,432,3635.0,1.25,-0.18793463197866567,True
suppressed_equals_5,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,-0.1070111375065711,0.8985156657104465,0.66932350467333,1.2061886305951746,0.1502431804555426,432,3635.0,1.43,-0.5314843342895534,False
suppressed_equals_9,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,1.109390318232719,3.032508965286096,2.3583970678687436,3.8993054858446583,0.12826945841428866,432,4543.0,1.12,1.9125089652860958,False
suppressed_equals_9,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,1.4465858765471344,4.248584533609476,3.020320620193597,5.976342517592932,0.17409330875944315,432,4543.0,1.27,2.978584533609476,False
suppressed_equals_9,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,1.2978631438431787,3.661464279767264,2.492281478122542,5.379135859931322,0.19625744724438685,432,4543.0,1.23,2.431464279767264,False
suppressed_equals_9,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,0.24224763674643787,1.2741096701260104,0.9299196582618109,1.7456943049714186,0.16066567463204579,432,4543.0,1.1,0.1741096701260103,True
suppressed_equals_9,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,-0.0534908613084476,0.9479146036634013,0.7216855528577493,1.245060389916734,0.13911984490099938,432,4543.0,1.25,-0.3020853963365987,False
suppressed_equals_9,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,-0.2813132379856357,0.7547918689623857,0.5498703141173362,1.0360820557593533,0.16161203218742057,432,4543.0,1.43,-0.6752081310376142,False
population_favoring_feasible_allocation,NB2_GLM_known_dispersion_HC0,primary_rurality_metro_other,0.3096154225915854,1.362900872447433,0.9921081494688496,1.872274498614323,0.16200947887208753,432,3023.0,1.12,0.24290087244743286,True
population_favoring_feasible_allocation,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_adjacent,0.25742916152236733,1.2936001710677545,0.8327668818954362,2.009447588474873,0.22470953631170912,432,3023.0,1.27,0.023600171067754472,True
population_favoring_feasible_allocation,NB2_GLM_known_dispersion_HC0,primary_rurality_nonmetro_nonadjacent,0.19769299179802757,1.2185882198090279,0.7950952200097186,1.867647059227931,0.2178501988270342,432,3023.0,1.23,-0.01141178019097211,True
population_favoring_feasible_allocation,NB2_GLM_known_dispersion_HC0,svi_quartile_Q2,0.06597256059237247,1.0681974060598038,0.7670251388261351,1.4876249037406575,0.16898380776600347,432,3023.0,1.1,-0.031802593940196244,True
population_favoring_feasible_allocation,NB2_GLM_known_dispersion_HC0,svi_quartile_Q3,0.11939397153569545,1.1268137634002513,0.8002252756303728,1.5866897685630232,0.17462039181236713,432,3023.0,1.25,-0.1231862365997487,True
population_favoring_feasible_allocation,NB2_GLM_known_dispersion_HC0,svi_quartile_Q4_highest,0.29429295660926236,1.3421770457137212,0.922739657467385,1.95227246110259,0.19117403169595582,432,3023.0,1.43,-0.08782295428627873,True
