state,year,mcod_lower,mcod_upper,ucd_lower,ucd_upper
Vermont,2019,21,21,1.0,9.0
Vermont,2020,26,26,1.0,9.0
Vermont,2021,28,28,1.0,9.0
Vermont,2022,26,26,1.0,9.0
Vermont,2023,21,21,10.0,10.0
Vermont,2024,36,36,16.0,16.0
Virginia,2019,168,168,80.0,80.0
Virginia,2020,201,201,84.0,84.0
Virginia,2021,252,252,115.0,115.0
Virginia,2022,270,270,106.0,106.0
Virginia,2023,232,232,95.0,95.0
Virginia,2024,266,266,101.0,101.0
Washington,2019,190,190,74.0,74.0
Washington,2020,205,205,74.0,74.0
Washington,2021,228,228,77.0,77.0
Washington,2022,246,246,92.0,92.0
Washington,2023,244,244,82.0,82.0
Washington,2024,313,313,99.0,99.0
West Virginia,2019,40,40,15.0,15.0
West Virginia,2020,52,52,17.0,17.0
West Virginia,2021,54,54,14.0,14.0
West Virginia,2022,71,71,34.0,34.0
West Virginia,2023,82,82,29.0,29.0
West Virginia,2024,87,87,31.0,31.0
Wisconsin,2019,145,145,53.0,53.0
Wisconsin,2020,149,149,56.0,56.0
Wisconsin,2021,165,165,53.0,53.0
Wisconsin,2022,197,197,73.0,73.0
Wisconsin,2023,211,211,75.0,75.0
Wisconsin,2024,211,211,86.0,86.0
Wyoming,2019,12,12,1.0,9.0
Wyoming,2020,24,24,1.0,9.0
Wyoming,2021,19,19,1.0,9.0
Wyoming,2022,21,21,1.0,9.0
Wyoming,2023,21,21,1.0,9.0
Wyoming,2024,22,22,1.0,9.0
