parameter,scale,posterior_mean,posterior_median,credible_interval_lower_95,credible_interval_upper_95,posterior_probability_gt_1,r_hat,ess_bulk,ess_tail,mcse_mean,draws
state_effect[11],model_parameter,0.22701952356975913,0.2258251281353657,0.007411271072033983,0.4523202763392142,,1.0085537588710927,1437.2439572757296,3199.3579952429254,0.0030067970921884963,36000
state_effect[12],model_parameter,-0.3215656691524444,-0.3215832705935724,-0.38328399257610885,-0.26043329828913,,1.0004123251175958,8851.64196407109,18992.288558314245,0.0003328594387022181,36000
state_effect[13],model_parameter,-0.20705073640526184,-0.20696532723861588,-0.267945226019603,-0.1465220443026492,,1.0006044919673982,13945.921877721503,25339.996586080546,0.00026302074160658765,36000
state_effect[15],model_parameter,-0.4811940765105052,-0.48013288296201406,-0.6851797754983036,-0.2820898773497906,,1.0046547414474745,1724.7429998516732,3793.636336616184,0.0024589909297590895,36000
state_effect[16],model_parameter,-0.031665987477858176,-0.031532351567505335,-0.1490961582845227,0.08523198031908077,,1.0007905383793088,5513.009926627385,11225.620179132418,0.0008058145240955952,36000
state_effect[17],model_parameter,-0.26721679779211516,-0.2670466340065185,-0.34178064990090423,-0.19310928800778884,,1.0003013585486324,11700.894728858779,20529.297716876586,0.000349821684633448,36000
state_effect[18],model_parameter,0.21787817314520838,0.21791387152564073,0.15293783114908122,0.2817989604241243,,1.0002939372388224,13543.624445502737,23999.627060042316,0.0002816468519973564,36000
state_effect[19],model_parameter,0.04806387815390796,0.04827825758448204,-0.04171436931067978,0.13721825085793532,,1.0006394332073667,8231.320716811984,15665.156721040648,0.0004996307519313566,36000
state_effect[20],model_parameter,-0.10435271210938618,-0.10407045910917376,-0.20769284165054855,-0.003205772699446419,,1.000961009399789,7254.726861058384,14098.21738765303,0.0006186602121067378,36000
state_effect[21],model_parameter,0.0010581102378269462,0.0010410462613429025,-0.07443106781182476,0.07691665139983271,,1.0006574702106452,12459.961661383002,21872.41747786988,0.0003448777055510047,36000
state_effect[22],model_parameter,-0.10567590133062064,-0.10577867748858177,-0.18692668533236587,-0.025833757673791768,,1.0002509065532086,9316.296629613102,18826.40668650189,0.0004258931702549921,36000
state_effect[23],model_parameter,0.18601609353009926,0.18592619413461342,0.06489037124796412,0.3052233450736663,,1.0013962330943953,5260.0509115087325,11220.761526566905,0.0008462047150303982,36000
state_effect[24],model_parameter,0.10935708373527059,0.10898884881021903,0.024713847731585914,0.19602901293993297,,1.0003731681403114,8812.031772260068,16914.182357805646,0.00046565899185783656,36000
state_effect[25],model_parameter,-0.3993691752566381,-0.3993069844533147,-0.5005412508462317,-0.29989117032651014,,1.0004408006810266,7236.7822611459005,14159.322355309445,0.0006045598176977282,36000
state_effect[26],model_parameter,-0.020319160974613344,-0.020256530122484392,-0.08423064008724994,0.04305555666646412,,1.0000909468376495,14680.61387093143,24978.953868243945,0.0002683406431225064,36000
state_effect[27],model_parameter,0.24959139451611995,0.24962922121337924,0.17644990743585195,0.32307805004745654,,1.0001971983805125,11567.72299464077,21603.844860474303,0.00034706285276755116,36000
state_effect[28],model_parameter,0.16598466464321104,0.1662071822459828,0.08421376462536354,0.24666535556473942,,1.0007961216860264,9536.252091012428,18358.00763899383,0.00042583690643380277,36000
state_effect[29],model_parameter,-0.04023955710111817,-0.04011352356972652,-0.11169162338346372,0.031795447801396294,,1.0005468840437528,11111.31561635276,22442.71719332271,0.00034909667537414763,36000
