parameter,scale,v111_mean,v111_median,v111_lower_95,v111_upper_95,corrected_prior_reweighted_mean,corrected_prior_reweighted_median,corrected_prior_reweighted_lower_95,corrected_prior_reweighted_upper_95,median_absolute_shift,median_relative_shift_percent
state_effect[15],model_parameter,-0.4811940765105052,-0.48013288296201406,-0.6851797754983036,-0.2820898773497906,-0.4844529964477665,-0.4835153637621389,-0.6882356208694222,-0.2851215284540294,-0.0033824808001248208,0.7044884697873233
state_effect[16],model_parameter,-0.031665987477858176,-0.031532351567505335,-0.1490961582845227,0.08523198031908077,-0.03176480839902253,-0.03168357049874735,-0.14980789617209148,0.08492204902036779,-0.00015121893124201563,0.4795675670375532
state_effect[17],model_parameter,-0.26721679779211516,-0.2670466340065185,-0.34178064990090423,-0.19310928800778884,-0.2675616636892465,-0.2673827036546966,-0.3421790086334791,-0.19374477758486855,-0.0003360696481780612,0.12584680178737706
state_effect[18],model_parameter,0.21787817314520838,0.21791387152564073,0.15293783114908122,0.2817989604241243,0.217952856782356,0.21800502397775068,0.15293778499348634,0.281624366700813,9.115245210994383e-05,0.04182957765459516
state_effect[19],model_parameter,0.04806387815390796,0.04827825758448204,-0.04171436931067978,0.13721825085793532,0.0481199426060213,0.04817272145352026,-0.041598171594640874,0.13727792724989404,-0.00010553613096177944,-0.21859970977018417
state_effect[20],model_parameter,-0.10435271210938618,-0.10407045910917376,-0.20769284165054855,-0.003205772699446419,-0.10448211678395632,-0.10436091523646773,-0.2077276603707849,-0.0028739414096932746,-0.0002904561272939754,0.2790956528684774
state_effect[21],model_parameter,0.0010581102378269462,0.0010410462613429025,-0.07443106781182476,0.07691665139983271,0.0011101847102339515,0.0010275838194567556,-0.07433706200910614,0.07693119690353639,-1.3462441886146924e-05,-1.2931646158337862
state_effect[22],model_parameter,-0.10567590133062064,-0.10577867748858177,-0.18692668533236587,-0.025833757673791768,-0.10592518023070586,-0.10599932245788121,-0.1869892018441651,-0.02606277252660618,-0.00022064496929943833,0.20859115895379698
state_effect[23],model_parameter,0.18601609353009926,0.18592619413461342,0.06489037124796412,0.3052233450736663,0.18643005329368179,0.18641148822623022,0.06436389485601118,0.30604695445326713,0.0004852940916167947,0.26101437394314697
state_effect[24],model_parameter,0.10935708373527059,0.10898884881021903,0.024713847731585914,0.19602901293993297,0.10942512425017509,0.10903207067197013,0.0251578947808979,0.19591043071637992,4.32218617510971e-05,0.039657141279070274
state_effect[25],model_parameter,-0.3993691752566381,-0.3993069844533147,-0.5005412508462317,-0.29989117032651014,-0.4002461845893371,-0.4003500093983572,-0.5010131298665296,-0.30096623379614545,-0.0010430249450424922,0.2612087906427307
state_effect[26],model_parameter,-0.020319160974613344,-0.020256530122484392,-0.08423064008724994,0.04305555666646412,-0.020403954644799216,-0.02039289344353291,-0.08394187761313923,0.04286663652597531,-0.0001363633210485181,0.6731820317891435
state_effect[27],model_parameter,0.24959139451611995,0.24962922121337924,0.17644990743585195,0.32307805004745654,0.24990462944750086,0.24998461613104297,0.17668653782377905,0.32365281476399904,0.00035539491766373166,0.14236911685909792
state_effect[28],model_parameter,0.16598466464321104,0.1662071822459828,0.08421376462536354,0.24666535556473942,0.16602329801385496,0.166306587570767,0.08389841516744576,0.24701307671668,9.940532478419639e-05,0.05980808015688677
