scenario,model_family,model_type,term,coef,se,irr,ci_low,ci_high,p_value,n_rows,events
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_median_household_income_z,-0.1846561866680076,0.02194579167316358,0.8313900777122444,0.7963870732942597,0.8679315429608618,3.955996868760536e-17,1077,50833.0
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_pct_high_school_grad_or_higher_z,-0.11148753724493637,0.020358392771466675,0.894502539299852,0.8595124345471155,0.9309170649002668,4.34447210371153e-08,1077,50833.0
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_pct_uninsured_z,-0.00842175200665936,0.015979207470721957,0.9916136116026227,0.9610383171433032,1.0231616546137927,0.5981627475183651,1077,50833.0
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_pct_non_hispanic_black_z,-0.0019901021884528676,0.014469454040532728,0.9980118767519252,0.9701057118753983,1.0267207933580655,0.8906054263606483,1077,50833.0
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_pct_hispanic_z,-0.0883815599501918,0.0168247438494353,0.915411525702233,0.8857167649287456,0.9461018404183689,1.4958451763525718e-07,1077,50833.0
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_pct_age_65_plus_z,0.07390322105598654,0.016846467871402412,1.0767025983132894,1.041731407749066,1.1128477807149306,1.1499483470169421e-05,1077,50833.0
observed_exact_plus_zero,rurality_only,GLM_negative_binomial_alpha1_robust,primary_rurality_metro_other,-0.07086170963155988,0.047451105988413775,0.9315907132429968,0.8488558650276488,1.022389421756929,0.13534228289053177,1412,50833.0
observed_exact_plus_zero,rurality_only,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_adjacent,-0.2539027113197436,0.05856973732572624,0.7757672717492972,0.6916332866063616,0.8701357664121027,1.4572731736333161e-05,1412,50833.0
observed_exact_plus_zero,rurality_only,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_nonadjacent,-0.09217156111523037,0.06757313144795192,0.9119486811907536,0.7988237875695634,1.0410936805673587,0.17255913636111553,1412,50833.0
observed_exact_plus_zero,rurality_only,GLM_negative_binomial_alpha1_robust,acs_pct_age_65_plus_z,-0.016548260003175275,0.019417212602240285,0.9835879102895784,0.9468581396969662,1.0217424730355513,0.3940770493514857,1412,50833.0
observed_exact_plus_zero,rurality_only,GLM_negative_binomial_alpha1_robust,acs_pct_male_z,-0.2020110111669766,0.035302320519612934,0.8170859308230838,0.7624612744587256,0.8756240358869088,1.0508201637308642e-08,1412,50833.0
observed_exact_plus_zero,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,primary_rurality_metro_other,-0.08916695468670927,0.06099472985048173,0.9146928485677611,0.8116251971922982,1.0308489806813805,0.14377419080503828,1412,50833.0
observed_exact_plus_zero,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_adjacent,-0.26679279500080755,0.07441657798162052,0.765831739191334,0.6618943765297465,0.8860903998426178,0.00033691574039713696,1412,50833.0
observed_exact_plus_zero,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_nonadjacent,-0.09638298369304638,0.07982118118619048,0.9081161557814931,0.7765979520048945,1.0619071944013567,0.22724491335496388,1412,50833.0
observed_exact_plus_zero,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,svi_quartile_Q2,-0.01842839626800341,0.06678538919986725,0.9817403683493393,0.8612867740539106,1.119039766871386,0.7825983371654442,1412,50833.0
observed_exact_plus_zero,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,svi_quartile_Q3,0.0438196364124932,0.07052476877352441,1.0447938951181859,0.9099106142600335,1.1996719965333602,0.5343780244857592,1412,50833.0
observed_exact_plus_zero,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,svi_quartile_Q4_highest,0.023344413892990024,0.07423237925392506,1.0236190274570516,0.8850146774303203,1.1839305495073174,0.753158394027069,1412,50833.0
observed_exact_plus_zero,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,acs_pct_age_65_plus_z,-0.016492094551731007,0.019571822404214064,0.9836431555000165,0.9466244179054717,1.0221095495327144,0.3994271226029804,1412,50833.0
observed_exact_plus_zero,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,acs_pct_male_z,-0.20163296642687883,0.034995919076318216,0.8173948842568701,0.7632077778349474,0.8754292293831862,8.33135145673657e-09,1412,50833.0
observed_exact_plus_zero,acs_component_family,GLM_negative_binomial_alpha1_robust,primary_rurality_metro_other,-0.0666665148332592,0.04592510619818363,0.9355071270728418,0.8549778447264998,1.023621360719637,0.1466029803726918,1412,50833.0
observed_exact_plus_zero,acs_component_family,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_adjacent,-0.21153001257119142,0.05701480830688085,0.8093449901640759,0.7237718671644188,0.9050356097287812,0.0002071864067243853,1412,50833.0
observed_exact_plus_zero,acs_component_family,GLM_negative_binomial_alpha1_robust,primary_rurality_nonmetro_nonadjacent,-0.06616719696321374,0.06143138162676038,0.9359743591378964,0.8297982293179784,1.0557361657467392,0.2814395501934397,1412,50833.0
observed_exact_plus_zero,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_pct_poverty_z,0.0632648867355928,0.03618420268533041,1.0653089880811624,0.992373083139436,1.1436054235733946,0.0803927471017099,1412,50833.0
observed_exact_plus_zero,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_median_household_income_z,-0.116421056615963,0.026860228207235156,0.8901003617378602,0.8444522354445632,0.9382160656473049,1.4620561702934234e-05,1412,50833.0
observed_exact_plus_zero,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_pct_high_school_grad_or_higher_z,-0.0338346224760577,0.03257854276444915,0.9667313670581181,0.9069313087546504,1.0304744439105964,0.29901154358464865,1412,50833.0
observed_exact_plus_zero,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_pct_uninsured_z,-0.07178227794122666,0.024592510666909317,0.9307335149701238,0.8869349833530152,0.9766949011457059,0.0035130561154300887,1412,50833.0
observed_exact_plus_zero,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_pct_non_hispanic_black_z,0.05172815310006847,0.0175675458569405,1.0530894245023945,1.0174462009936813,1.0899813031054522,0.0032344634351830375,1412,50833.0
observed_exact_plus_zero,acs_component_family,GLM_negative_binomial_alpha1_robust,acs_pct_hispanic_z,-0.021872873078693275,0.021609792024593195,0.97836460362572,0.9377910973940913,1.0206935214970012,0.3114547891266638,1412,50833.0
