query_id,row_type,year,state,state_fips,county,county_fips,urbanization,age_group,sex,race,hispanic_origin,place_of_death,deaths_raw,deaths,death_count_status,death_count_known,death_count_suppressed,death_count_zero,population,crude_rate,rate_status,notes,rate_per_100k
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Florida,12,,,,,,,,,435,435,exact,True,False,False,21477737,2.0,known_or_blank,,2.0253530434793947
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Florida,12,,,,,,,,,503,503,exact,True,False,False,21733312,2.3,known_or_blank,,2.314419449736883
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Florida,12,,,,,,,,,579,579,exact,True,False,False,21781128,2.7,known_or_blank,,2.6582645306524073
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Florida,12,,,,,,,,,600,600,exact,True,False,False,22244823,2.7,known_or_blank,,2.6972567954350546
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Florida,12,,,,,,,,,617,617,exact,True,False,False,22610726,2.7,known_or_blank,,2.728793405395298
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Florida,12,,,,,,,,,595,595,exact,True,False,False,23372215,2.5,known_or_blank,,2.545757858208989
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Georgia,13,,,,,,,,,212,212,exact,True,False,False,10617423,2.0,known_or_blank,,1.9967180360055354
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Georgia,13,,,,,,,,,249,249,exact,True,False,False,10710017,2.3,known_or_blank,,2.3249262816296183
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Georgia,13,,,,,,,,,247,247,exact,True,False,False,10799566,2.3,known_or_blank,,2.287128945737264
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Georgia,13,,,,,,,,,266,266,exact,True,False,False,10912876,2.4,known_or_blank,,2.437487606383505
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Georgia,13,,,,,,,,,287,287,exact,True,False,False,11029227,2.6,known_or_blank,,2.602176925001181
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Georgia,13,,,,,,,,,346,346,exact,True,False,False,11180878,3.1,known_or_blank,,3.0945691384880507
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Hawaii,15,,,,,,,,,19,19,exact,True,False,False,1415872,1.3,known_or_blank,,1.3419292139402432
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Hawaii,15,,,,,,,,,22,22,exact,True,False,False,1407006,1.6,known_or_blank,,1.5636038510141392
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Hawaii,15,,,,,,,,,28,28,exact,True,False,False,1441553,1.9,known_or_blank,,1.9423496742748965
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Hawaii,15,,,,,,,,,20,20,exact,True,False,False,1440196,1.4,known_or_blank,,1.3886998714063918
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Hawaii,15,,,,,,,,,16,16,exact,True,False,False,1435138,1.1,known_or_blank,,1.1148753639022868
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Hawaii,15,,,,,,,,,30,30,exact,True,False,False,1446146,2.1,known_or_blank,,2.0744793402602504
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Idaho,16,,,,,,,,,51,51,exact,True,False,False,1787065,2.9,known_or_blank,,2.8538413543995325
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Idaho,16,,,,,,,,,53,53,exact,True,False,False,1826913,2.9,known_or_blank,,2.901068633262777
Q004_state_year_mc_g40_g41_2019_2024,state,2021,Idaho,16,,,,,,,,,59,59,exact,True,False,False,1900923,3.1,known_or_blank,,3.103755386199231
Q004_state_year_mc_g40_g41_2019_2024,state,2022,Idaho,16,,,,,,,,,61,61,exact,True,False,False,1939033,3.1,known_or_blank,,3.1458979811070775
Q004_state_year_mc_g40_g41_2019_2024,state,2023,Idaho,16,,,,,,,,,55,55,exact,True,False,False,1964726,2.8,known_or_blank,,2.7993725333710655
Q004_state_year_mc_g40_g41_2019_2024,state,2024,Idaho,16,,,,,,,,,56,56,exact,True,False,False,2001619,2.8,known_or_blank,,2.7977352333286203
Q004_state_year_mc_g40_g41_2019_2024,state,2019,Illinois,17,,,,,,,,,213,213,exact,True,False,False,12671821,1.7,known_or_blank,,1.6808949558236341
Q004_state_year_mc_g40_g41_2019_2024,state,2020,Illinois,17,,,,,,,,,238,238,exact,True,False,False,12587530,1.9,known_or_blank,,1.8907601411873498
