chain,draw,iteration,parameter,value
1,5,350,primary_rurality_metro_other,0.11778689842116281
1,5,350,primary_rurality_nonmetro_adjacent,0.19776289539586472
1,5,350,primary_rurality_nonmetro_nonadjacent,0.23291148871589673
1,5,350,svi_quartile_Q2,0.12137760968847806
1,5,350,svi_quartile_Q3,0.24063215020256626
1,5,350,svi_quartile_Q4_highest,0.38141256256966066
1,5,350,z_pct_age65,0.07700880026279724
1,5,350,z_pct_male,-0.008762756024249412
1,5,350,state_effect[01],-0.1320303439570648
1,5,350,state_effect[02],0.04592713711779024
1,5,350,state_effect[04],-0.16449986214314943
1,5,350,state_effect[05],0.035306419934797446
1,5,350,state_effect[06],-0.05201295417476277
1,5,350,state_effect[08],0.1023334805443482
1,5,350,state_effect[09],0.2768390581681002
1,5,350,state_effect[10],-0.044398356245386454
1,5,350,state_effect[11],-0.020680438548198628
1,5,350,state_effect[12],-0.2122904512789264
1,5,350,state_effect[13],-0.22272561671388572
1,5,350,state_effect[15],-0.0011289861577909713
1,5,350,state_effect[16],-0.13430591337891476
1,5,350,state_effect[17],-0.17003620706204534
1,5,350,state_effect[18],0.16571725449722577
1,5,350,state_effect[19],0.019869127916096758
1,5,350,state_effect[20],-0.04473142896396885
1,5,350,state_effect[21],-0.06842641884943547
1,5,350,state_effect[22],-0.08483024236580435
1,5,350,state_effect[23],0.1151600474714421
1,5,350,state_effect[24],0.017541324195528382
1,5,350,state_effect[25],-0.09735548502131465
1,5,350,state_effect[26],-0.13276148111083078
1,5,350,state_effect[27],0.1850967351412032
1,5,350,state_effect[28],0.13383978950026842
1,5,350,state_effect[29],-0.06258666196016181
1,5,350,state_effect[30],-0.048277858497043365
1,5,350,state_effect[31],0.13348427891954434
1,5,350,state_effect[32],-0.018274002576369294
1,5,350,state_effect[33],0.012076508623071329
1,5,350,state_effect[34],-0.19912278809951794
1,5,350,state_effect[35],-0.02163949710309814
1,5,350,state_effect[36],-0.03708956954098123
1,5,350,state_effect[37],-0.057571197585080225
1,5,350,state_effect[38],-0.19574651825031752
1,5,350,state_effect[39],-0.05139750430010219
1,5,350,state_effect[40],0.13578178630261772
1,5,350,state_effect[41],0.14553893299029022
1,5,350,state_effect[42],0.03968142158270242
1,5,350,state_effect[44],0.1011061086668065
1,5,350,state_effect[45],0.19889289752108985
1,5,350,state_effect[46],0.15517346843232582
1,5,350,state_effect[47],0.08447994694049843
1,5,350,state_effect[48],0.00896798790061064
1,5,350,state_effect[49],0.16711338400516307
1,5,350,state_effect[50],0.010706506891800372
1,5,350,state_effect[51],0.02377600455125077
1,5,350,state_effect[53],-0.06407029190308049
1,5,350,state_effect[54],-0.012015230757146453
1,5,350,state_effect[55],-0.0023363237756703777
1,5,350,state_effect[56],0.037932022505476184
1,5,350,year_effect[2019],-0.24263108991517018
1,5,350,year_effect[2020],-0.056868451002944784
1,5,350,year_effect[2021],0.02259822529753855
1,5,350,year_effect[2022],0.10596710202437593
1,5,350,year_effect[2023],0.06673031355830844
1,5,350,year_effect[2024],0.10420390003789201
1,5,350,sigma_state,0.10147357642308465
1,5,350,sigma_year,0.11279518095575608
1,5,350,kappa,2.5079404781390715
1,6,360,Intercept,-10.620219120194612
1,6,360,primary_rurality_metro_other,0.1145896703369179
1,6,360,primary_rurality_nonmetro_adjacent,0.20185132621519356
1,6,360,primary_rurality_nonmetro_nonadjacent,0.22131476153622745
1,6,360,svi_quartile_Q2,0.10336022594878098
1,6,360,svi_quartile_Q3,0.25504281320779726
1,6,360,svi_quartile_Q4_highest,0.3913537225636365
1,6,360,z_pct_age65,0.08240679737385355
1,6,360,z_pct_male,-0.009366145519701644
1,6,360,state_effect[01],-0.14906136282283744
1,6,360,state_effect[02],0.06249722169748598
1,6,360,state_effect[04],-0.1607300917518495
1,6,360,state_effect[05],0.019080145036540583
1,6,360,state_effect[06],-0.06275761706298671
1,6,360,state_effect[08],0.11722760657135776
1,6,360,state_effect[09],0.28129288557021476
1,6,360,state_effect[10],-0.0625515300354982
1,6,360,state_effect[11],0.004676984995949502
1,6,360,state_effect[12],-0.22421650853447284
1,6,360,state_effect[13],-0.20919749282270134
1,6,360,state_effect[15],-0.035485904910985216
1,6,360,state_effect[16],-0.0777465317639336
1,6,360,state_effect[17],-0.17405599329341792
1,6,360,state_effect[18],0.1872716571455454
1,6,360,state_effect[19],0.013317505715606328
1,6,360,state_effect[20],-0.0672047885975729
1,6,360,state_effect[21],-0.0357787164394572
1,6,360,state_effect[22],-0.08853083853355319
1,6,360,state_effect[23],0.11145008974102918
1,6,360,state_effect[24],0.01482427385393837
1,6,360,state_effect[25],-0.16305640195315546
1,6,360,state_effect[26],-0.1454203298002551
1,6,360,state_effect[27],0.18840023438213255
1,6,360,state_effect[28],0.15227136577362926
1,6,360,state_effect[29],-0.09706444241648145
1,6,360,state_effect[30],-0.00889799916452115
1,6,360,state_effect[31],0.11542716267759269
1,6,360,state_effect[32],0.0006454501917505136
1,6,360,state_effect[33],0.03825693273612397
