replicate,scenario,parameter,truth_irr,posterior_median_irr,posterior_lower_95,posterior_upper_95,bias_irr,relative_bias_percent,squared_error_irr,interval_width,truth_covered_by_95_interval,r_hat,ess_bulk,ess_tail
9,baseline_rate_3_4_kappa_10,svi_quartile_Q4_highest,1.43,1.0848196170060076,0.8090304521432277,1.470512239817697,-0.3451803829939923,-24.13848832125821,0.1191494968038792,0.6614817876744694,True,1.010664318333658,223.7744597272865,438.09206853328425
10,lower_rate_2_4_kappa_10,primary_rurality_metro_other,1.12,1.3259783707300827,0.972745967968354,1.8308225885705407,0.2059783707300826,18.39092595804308,0.0424270892086193,0.8580766206021873,True,1.0115857994076325,302.0047512413668,646.6740924575112
10,lower_rate_2_4_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.5605930281061575,1.023680246774521,2.2900789441531284,0.2905930281061577,22.88134079576045,0.0844443079839061,1.2663986973786074,True,1.030640711954588,187.3091240846836,361.2286395844719
10,lower_rate_2_4_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.4151692554381556,0.954496477253404,2.042005768186457,0.1851692554381556,15.054411011232173,0.0342876531595209,1.0875092909330533,True,1.022198200691098,216.4585554631981,437.12111928283423
10,lower_rate_2_4_kappa_10,svi_quartile_Q2,1.1,1.6403199531386266,1.212566393112556,2.258222973763599,0.5403199531386265,49.11999573987514,0.2919456517597275,1.0456565806510432,False,1.017242103837159,228.75919234319028,518.5881996108595
10,lower_rate_2_4_kappa_10,svi_quartile_Q3,1.25,1.3871720683996798,1.0395959448400576,1.8725023729203456,0.1371720683996797,10.973765471974373,0.0188161763490464,0.832906428080288,True,1.0157509411267724,278.1081442304976,726.9486230174768
10,lower_rate_2_4_kappa_10,svi_quartile_Q4_highest,1.43,1.934133968182921,1.3671367393509783,2.780809471821214,0.5041339681829211,35.254123649155325,0.2541510578758585,1.4136727324702358,True,1.012815162590465,232.3165508912345,502.406004512377
11,higher_rate_5_0_kappa_10,primary_rurality_metro_other,1.12,1.1079075827756375,0.8753374041462001,1.396875568164379,-0.0120924172243626,-1.079680109318093,0.000146226554328,0.5215381640181789,True,1.0119431526903055,289.2093186604608,773.767129714534
11,higher_rate_5_0_kappa_10,primary_rurality_nonmetro_adjacent,1.27,1.51142244545817,1.1334346430249718,1.979264331368452,0.2414224454581699,19.009641374659054,0.058284797171003,0.8458296883434802,True,1.0186480733959122,178.1511219571791,623.0937707063227
11,higher_rate_5_0_kappa_10,primary_rurality_nonmetro_nonadjacent,1.23,1.0016706768499717,0.7462327346136383,1.358568741942432,-0.2283293231500285,-18.56335960569337,0.0521342798101501,0.6123360073287937,True,1.027260637817496,163.9170225401608,411.3918346657309
