chain,draw,l1_distance_free_cells,changed_free_cells,fraction_free_cells_changed
3,39,9428,3891,0.40134089736977824
3,40,9482,3911,0.4034038164002063
3,41,9552,3932,0.4055698813821558
3,42,9592,3936,0.4059824651882414
3,43,9626,3967,0.40917998968540487
3,44,9744,4020,0.41464672511603917
3,45,9774,4033,0.41598762248581744
3,46,9750,4039,0.41660649819494583
3,47,9794,4061,0.4188757091284167
3,48,9800,4053,0.4180505415162455
3,49,9836,4059,0.41866941722537393
3,50,9924,4079,0.420732336255802
3,51,9922,4080,0.42083548220732336
3,52,9938,4105,0.4234141309953584
3,53,9976,4102,0.42310469314079424
3,54,9980,4110,0.42392986075296546
3,55,10076,4131,0.4260959257349149
3,56,10148,4161,0.429190304280557
3,57,10154,4168,0.4299123259412068
3,58,10132,4150,0.42805569881382155
3,59,10220,4176,0.43073749355337804
3,60,10242,4182,0.4313563692625064
3,61,10262,4194,0.4325941206807633
3,62,10338,4216,0.4348633316142341
3,63,10392,4204,0.4336255801959773
3,64,10422,4216,0.4348633316142341
3,65,10450,4238,0.437132542547705
3,66,10460,4240,0.4373388344507478
3,67,10462,4252,0.43857658586900466
3,68,10496,4267,0.44012377514182566
3,69,10496,4263,0.43971119133574005
3,70,10550,4293,0.44280556988138214
3,71,10586,4304,0.4439401753481176
3,72,10624,4323,0.44589994842702424
3,73,10620,4331,0.44672511603919546
3,74,10666,4344,0.4480660134089737
3,75,10678,4354,0.4490974729241877
3,76,10724,4376,0.4513666838576586
3,77,10744,4391,0.45291387313047965
3,78,10838,4423,0.4562145435791645
3,79,10872,4413,0.45518308406395047
3,80,10870,4407,0.4545642083548221
3,81,10926,4406,0.4544610624033007
3,82,10914,4402,0.45404847859721503
3,83,10972,4405,0.45435791645177925
3,84,11058,4451,0.4591026302217638
3,85,11084,4471,0.46116554925219183
3,86,11080,4468,0.46085611139762767
3,87,11100,4476,0.4616812790097989
3,88,11090,4485,0.4626095925734915
3,89,11122,4500,0.46415678184631254
3,90,11116,4489,0.4630221763795771
3,91,11124,4495,0.46364105208870554
3,92,11168,4501,0.4642599277978339
3,93,11244,4507,0.46487880350696237
3,94,11224,4517,0.46591026302217636
3,95,11226,4532,0.4674574522949974
3,96,11226,4531,0.467354306343476
3,97,11278,4554,0.4697266632284683
3,98,11336,4579,0.47230531201650333
3,99,11312,4577,0.47209902011346055
3,100,11388,4585,0.4729241877256318
4,1,8030,3366,0.3471892728210418
4,2,8064,3373,0.3479112944816916
4,3,8088,3411,0.3518308406395049
4,4,8142,3431,0.353893759669933
4,5,8184,3427,0.35348117586384736
4,6,8224,3447,0.3555440948942754
4,7,8254,3467,0.35760701392470345
4,8,8378,3497,0.36070139247034555
4,9,8418,3500,0.36101083032490977
4,10,8448,3520,0.3630737493553378
4,11,8492,3547,0.3658586900464157
4,12,8500,3545,0.36565239814337286
4,13,8550,3587,0.3699845281072718
4,14,8564,3600,0.37132542547705005
4,15,8628,3628,0.3742135121196493
4,16,8664,3635,0.37493553378029915
4,17,8698,3653,0.37679216090768436
4,18,8732,3687,0.38029912325941206
4,19,8750,3691,0.3807117070654977
4,20,8734,3697,0.3813305827746261
4,21,8750,3714,0.38308406395048994
4,22,8754,3725,0.3842186694172254
4,23,8822,3750,0.3867973182052604
4,24,8820,3754,0.38720990201134603
4,25,8914,3776,0.3894791129448169
4,26,8972,3783,0.39020113460546674
4,27,8974,3797,0.3916451779267664
4,28,9008,3824,0.39443011861784427
4,29,9078,3847,0.39680247550283654
4,30,9190,3859,0.39804022692109337
4,31,9260,3883,0.400515729757607
4,32,9206,3896,0.40185662712738524
4,33,9250,3919,0.4042289840123775
4,34,9322,3927,0.4050541516245487
4,35,9382,3925,0.40484785972150594
4,36,9370,3927,0.4050541516245487
4,37,9410,3944,0.4068076328004126
4,38,9448,3944,0.4068076328004126
4,39,9538,3971,0.4095925734914905
4,40,9614,4009,0.4135121196493038
4,41,9610,4017,0.414337287261475
4,42,9684,4031,0.4157813305827746
4,43,9710,4044,0.4171222279525529
4,44,9748,4050,0.41774110366168127
4,45,9814,4065,0.4192882929345023
4,46,9838,4084,0.421248066013409
4,47,9852,4093,0.4221763795771016
4,48,9906,4109,0.42382671480144407
4,49,9936,4122,0.4251676121712223
4,50,9968,4115,0.42444559051057246
4,51,9960,4117,0.4246518824136153
4,52,9968,4122,0.4251676121712223
4,53,9966,4119,0.42485817431665807
4,54,10014,4125,0.4254770500257865
4,55,10018,4138,0.4268179473955647
4,56,10092,4162,0.4292934502320784
4,57,10134,4176,0.43073749355337804
4,58,10150,4189,0.43207839092315625
4,59,10202,4190,0.4321815368746777
4,60,10226,4178,0.4309437854564208
4,61,10230,4171,0.43022176379577104
4,62,10224,4174,0.4305312016503352
4,63,10242,4181,0.43125322331098503
4,64,10250,4191,0.4322846828261991
4,65,10318,4215,0.43476018566271274
4,66,10366,4229,0.4362042289840124
4,67,10400,4250,0.43837029396596183
4,68,10422,4246,0.4379577101598762
4,69,10478,4267,0.44012377514182566
